feature,coefficient,abs_coefficient
num__previous_no_shows,0.7949334754318428,0.7949334754318428
cat__appointment_type_Procedure,-0.35501736308845616,0.35501736308845616
num__reminder_sent,-0.27778092691051937,0.27778092691051937
cat__appointment_type_New Consultation,0.257286350430869,0.257286350430869
cat__weekday_Monday,-0.24798370514087428,0.24798370514087428
cat__weekday_Friday,0.2393288480001763,0.2393288480001763
cat__weekday_Thursday,-0.22461131707793489,0.22461131707793489
num__new_patient,0.19902380169287073,0.19902380169287073
cat__appointment_time_14:00-16:00,-0.194044548200009,0.194044548200009
cat__appointment_time_08:00-10:00,-0.16968990304047218,0.16968990304047218
cat__appointment_time_16:00-18:00,0.1172992154597269,0.1172992154597269
num__previous_appointments,-0.09692154091561225,0.09692154091561225
cat__appointment_time_12:00-14:00,0.08872707404249558,0.08872707404249558
num__days_before_appointment,0.08493686535191876,0.08493686535191876
cat__weekday_Wednesday,0.08482152773314862,0.08482152773314862
cat__appointment_type_Routine Check,-0.083057231275123,0.083057231275123
cat__appointment_type_Urgent Visit,0.06979546611447786,0.06979546611447786
cat__appointment_time_18:00-20:00,0.06632210334568911,0.06632210334568911
cat__weekday_Tuesday,0.06433973424350836,0.06433973424350836
cat__gender_Female,-0.05875774375838684,0.05875774375838684
cat__gender_Male,-0.05184939056323946,0.05184939056323946
num__age,-0.03848077173367396,0.03848077173367396
cat__weekday_Saturday,-0.0265022220796492,0.0265022220796492
cat__appointment_time_10:00-12:00,-0.019221075929056898,0.019221075929056898
num__previous_no_show_rate,0.01679862364906418,0.01679862364906418
cat__appointment_type_Follow-up,0.00038564349660709396,0.00038564349660709396
